Cruise,Station,gear_tow,Fish_num,FishFamily,FishSpecies,ID_confirmation,GeneticID,Flash_frozen,DissectionDate_MMDDYYYY,Photo_ID,SL_mm,FL_mm,TL_mm,Wt_g,TGW_g,EGW_g,Gut_MB,Gut_V.ID,SIA,FishBarcoding,Prey_Num,Spp_LowestTaxon,Obs_Length,Magnification,Actual_Length_mm,TotalNumPrey,TotalPrey_gut,Gut MorphID_date_MMDDYYYY,Swim_Bladder,Gonads,Gonad_wt(g),Sex,Gonad_preservative,Head,Comments,Comments_postDissection,Gut_comments,Prey_Comments
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,NA,AmphipodDigested,NA,NA,NA,2,7,06/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,NA,CopepodDigested,NA,NA,NA,5,7,06/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,NA,Candacia,NA,NA,NA,2,4,07/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,NA,Calanoid,NA,NA,NA,1,4,07/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,NA,Hyperiidea,NA,NA,NA,1,4,07/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7503,40,41,57,1.6656,0.0643,NA,N,Y,Y,Y,NA,Chaetognatha,NA,NA,NA,1,2,06/22/2020,DA,N,NA,?,NA,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",NA,"gut very small, black",NA
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7503,40,41,57,1.6656,0.0643,NA,N,Y,Y,Y,NA,Euphausid,NA,NA,NA,1,2,06/22/2020,DA,N,NA,?,NA,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",NA,"gut very small, black",NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,NA,UnknownSoft,NA,NA,NA,1,4,06/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,NA,Candacia,NA,NA,NA,1,4,06/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,NA,N,Y,Y,Y,NA,Copepod,NA,NA,NA,1,4,06/23/2020,?,N,NA,?,NA,Y,NA,NA,NA,NA
