Cruise,Station,Gear/Tow,Fish #,Family,Species or Lowest Taxon,"ID confirmation (via barcoding, or visually w/ persons initials)",Genetic ID,Flash frozen,Date processed,Photo ID#,SL (mm) (carapace length for decapods),FL (mm),TL (mm),Wt (g),TGW (g),EGW (g),Gut MB,Gut V.ID?,SIA?,Fish Barcoding,Prey_Num,Spp_LowestTaxon,Obs_Length,Magnification,Actual_Length,TotalNumPrey,TotalPrey_gut,Gut MorphID completed by SGG,Swim Bladder,Gonads?,Gon wt (g),Sex,Gonad preservative,Head?,Comments,Comments after Dissection,Gut_comments,Prey_Comments
HB1907,2,MWT1,1,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7499,47,49,60,1.8549,0.0848,0.0403,Y,N,Y,Y,,,,,,,,,DA,N,N/A,?,N/A,Y,4 photophores on rostrum,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,na,DigAmphipod,na,na,na,2,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,1,DigAmphipod,na,na,na,na,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,na,DigCopepod,na,na,na,5,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,2,DigCopepod,3,2,1.44,na,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,3,DigCopepod,na,na,na,na,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,4,DigCopepod,na,na,na,na,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,5,DigAmphipod,na,na,na,na,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,6,DigCopepod,na,na,na,na,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7500,47,49,60,1.885,0.1244,n/a,N,Y,Y,Y,7,DigCopepod,na,na,na,na,7,06/22/2020,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7501,40,41,51,1.1188,0.0909,n/a,N,Y,Y,Y,NA,Candacia,NA,NA,NA,2,4,07/20/2020,DA,N,N/A,?,N/A,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7501,40,41,51,1.1188,0.0909,n/a,N,Y,Y,Y,1,Candacia,2.1,0.8,2.63,NA,4,07/20/2020,DA,N,N/A,?,N/A,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7501,40,41,51,1.1188,0.0909,n/a,N,Y,Y,Y,NA,Calanoid,NA,NA,NA,1,4,07/20/2020,DA,N,N/A,?,N/A,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7501,40,41,51,1.1188,0.0909,n/a,N,Y,Y,Y,2,Calanoid,1,0.8,1.25,NA,4,07/20/2020,DA,N,N/A,?,N/A,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7501,40,41,51,1.1188,0.0909,n/a,N,Y,Y,Y,NA,Hyperiid,NA,NA,NA,1,4,07/20/2020,DA,N,N/A,?,N/A,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7501,40,41,51,1.1188,0.0909,n/a,N,Y,Y,Y,3,Hyperiid,NA,NA,NA,NA,4,07/20/2020,DA,N,N/A,?,N/A,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7501,40,41,51,1.1188,0.0909,n/a,N,Y,Y,Y,4,Candacia,NA,NA,NA,NA,4,07/20/2020,DA,N,N/A,?,N/A,Y,NA,NA,gut black,"only half of metasome left, could not loate prosome "
HB1907,2,MWT1,4,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7502,48,49,61,2.0184,0.1232,0.0723,Y,N,Y,Y,,,,,,,,,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,5,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7504,41,43,53,1.2083,0.0858,0.0367,Y,N,Y,Y,,,,,,,,,?,Y,0.005,Im F,F-W-E,Y,"Eggs barely visible, gonad mostly looks like fat tissue.",,,
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7503,40,41,57,1.6656,0.0643,n/a,N,Y,Y,Y,NA,chaetognatha,na,na,na,1,2,06/22/2020,DA,N,N/A,?,N/A,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",,"gut very small, black",
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7503,40,41,57,1.6656,0.0643,n/a,N,Y,Y,Y,1,chaetognatha,na,na,na,na,2,06/22/2020,DA,N,N/A,?,N/A,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",,"gut very small, black",
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7503,40,41,57,1.6656,0.0643,n/a,N,Y,Y,Y,NA,Euphausid,na,na,na,1,2,06/22/2020,DA,N,N/A,?,N/A,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",,"gut very small, black",
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7503,40,41,57,1.6656,0.0643,n/a,N,Y,Y,Y,2,Euphausid,na,na,na,na,2,06/22/2020,DA,N,N/A,?,N/A,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",,"gut very small, black",
HB1907,2,MWT1,7,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7505-6,49,n/a,64,2.0363,0.1375,0.0717,Y,N,Y,Y,,,,,,,,,?,Y,0.0206,F,F-W-E,Y,,,,
HB1907,2,MWT1,8,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7507,46,47,59,1.7117,0.1327,0.0369,Y,N,Y,Y,,,,,,,,,DA,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,NA,UnknownSoft,NA,NA,NA,1,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,1,UnknownSoft,NA,NA,NA,NA,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,NA,Candacia,NA,NA,NA,1,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,2,Candacia,1.7,0.8,2.13,NA,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,NA,Copepod,NA,NA,NA,1,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,3,Copepod,NA,NA,NA,NA,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,NA,DigAmphipod,NA,NA,NA,1,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,9,Myctophidae,Diaphus perspicillatus,Yes - DNA,Diaphus perspicillatus,N,8/19/2019,7508,36,37,43,0.9083,0.0664,n/a,N,Y,Y,Y,4,DigAmphipod,NA,NA,NA,NA,4,06/23/2020,?,N,N/A,?,N/A,Y,,,,
HB1907,2,MWT1,10,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7509,42,n/a,54,1.2008,0.0656,n/a,N,Y,Y,Y,na,DigCopepod,NA,NA,NA,1,1,06/23/2020,?,N,N/A,?,N/A,Y,"Maybe small gonads found, but not saved, could be fat or very immature.",NA,small black gut,NA
HB1907,2,MWT1,10,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,,N,8/19/2019,7509,42,n/a,54,1.2008,0.0656,n/a,N,Y,Y,Y,1,DigCopepod,NA,NA,NA,NA,1,06/23/2020,?,N,N/A,?,N/A,Y,"Maybe small gonads found, but not saved, could be fat or very immature.",NA,small black gut,smaller than C. finmarchicus
HB1907,2,MWT1,11,Bathylagidae,Dolicholagus longirostris,Yes - DNA,Dolicholagus longirostris,N,8/19/2019,7510-11,64,n/a,73,1.2945,0.1023,n/a,N,Y,Y,Y,na,DigAmphipod,na,na,na,2,2,06/22/2020,N,Y,0.0017,M?,F-W-E,Y,"From bag 26. Gonad speckled, doesn't really look like eggs. Gut damaged and leaking contents before dissection.",NA,"gut long and black, looks like white  speckled gonad strip along gut, black part of gut empty",NA
