Cruise,Station,gear_tow,Fish_num,FishFamily,FishSpecies,ID_confirmation,GeneticID,Flash_frozen,DissectionDate_MMDDYYYY,Photo_ID,SL_mm,FL_mm,TL_mm,Wt_g,TGW_g,EGW_g,Gut_MB,Gut_V.ID,SIA,FishBarcoding,Prey_Num,Spp_LowestTaxon,Obs_Length,Magnification,Actual_Length_mm,TotalNumPrey,TotalPrey_gut,Gut MorphID_date_MMDDYYYY,Swim_Bladder,Gonads,Gonad_wt(g),Sex,Gonad_preservative,Head,Comments,Comments_postDissection,Gut_comments,Prey_Comments
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,1,AmphipodDigested,NA,NA,NA,NA,7,44004,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,2,CopepodDigested,3,2,1.44,NA,7,44004,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,3,CopepodDigested,NA,NA,NA,NA,7,44004,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,4,CopepodDigested,NA,NA,NA,NA,7,44004,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,5,AmphipodDigested,NA,NA,NA,NA,7,44004,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,6,CopepodDigested,NA,NA,NA,NA,7,44004,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,7,CopepodDigested,NA,NA,NA,NA,7,44004,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,1,Candacia,2.1,0.8,2.625,NA,4,44032,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,2,Calanoid,1,0.8,1.25,NA,4,44032,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,43696,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,3,Hyperiidea,NA,NA,NA,NA,4,44032,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
